Log start : Tue Dec 13 09:49:51 2011

Current Directory : e:\gonz\2003\Stable\ZLauncher\ZLauncher_2nd\CNewApp
09:49:51:306   [APP] Cannot find a command.
09:49:51:587   [APP] OS version : Microsoft Windows XP Professional Service Pack 3 (Build 2600)
09:49:51:634   [APP] Window created successfully.
09:49:53:947   [ZUpdate] Create.
09:49:53:947   [ZFileTransfer] Create.
09:49:53:947   [ZFileTransfer] Create successfully complete.
09:49:53:947   [ZFileTransfer] Open connection.
09:49:53:962   [ZFileTransfer] Open connection successfully complete.
09:49:53:962   [ZFileTransfer] Change directory.
09:49:53:962   [ZFileTransfer] Change directory successfully complete.
09:49:53:962   [ZUpdate] Create successfully compete.
09:49:53:962   [APP] Download patch info file
09:49:53:962   [ZUpdate] Start update.
09:49:53:962   [ZFileTransfer] Download file : ./patch.xml  to  ./patch.xml
09:49:54:712   [ZFileTransfer] Download successfully complete.
09:49:54:712   [ZUpdate] Get update info.
09:49:54:759   [ZUpdate] Get update info successfully complete.
09:49:54:759   [ZUpdate] Check valid from patch list.
09:49:54:759   [ZUpdatePatchNode] Needs to update : ./BAReport.exe (not exist)
09:49:54:759   [ZUpdatePatchNode] Needs to update : ./bdcap32.dll (not exist)
09:49:54:759   [ZUpdatePatchNode] Needs to update : ./bdcore32.dll (not exist)
09:49:54:759   [ZUpdatePatchNode] Needs to update : ./dbghelp.dll (not exist)
09:49:54:759   [ZUpdatePatchNode] Needs to update : ./fmod.dll (not exist)
09:49:54:759   [ZUpdatePatchNode] Needs to update : ./GameGuard.des_new (not exist)
09:49:54:759   [ZUpdatePatchNode] Needs to update : ./gdiplus.dll (not exist)
09:49:54:759   [ZUpdatePatchNode] Needs to update : ./Gunz.exe (not exist)
09:49:54:759   [ZUpdatePatchNode] Needs to update : ./GunzLauncher.exe (not exist)
09:49:54:759   [ZUpdatePatchNode] Needs to update : ./GunzUS.ini (not exist)
09:49:54:759   [ZUpdatePatchNode] Needs to update : ./HanAuthForClient.dll (not exist)
09:49:54:759   [ZUpdatePatchNode] Needs to update : ./HanPollForClient.dll (not exist)
09:49:54:759   [ZUpdatePatchNode] Needs to update : ./HanReportForClient.dll (not exist)
09:49:54:759   [ZUpdatePatchNode] Needs to update : ./model.mrs (not exist)
09:49:54:759   [ZUpdatePatchNode] Needs to update : ./msvcp71.dll (not exist)
09:49:54:759   [ZUpdatePatchNode] Needs to update : ./msvcr71.dll (not exist)
09:49:54:759   [ZUpdatePatchNode] Needs to update : ./sfx.mrs (not exist)
09:49:54:759   [ZUpdatePatchNode] Needs to update : ./system.mrs (not exist)
09:49:54:759   [ZUpdatePatchNode] Needs to update : ./Update1.mrs (not exist)
09:49:54:759   [ZUpdatePatchNode] Needs to update : ./Update2.mrs (not exist)
09:49:54:759   [ZUpdatePatchNode] Needs to update : ./Update3.mrs (not exist)
09:49:54:759   [ZUpdatePatchNode] Needs to update : ./vcomp90.dll (not exist)
09:49:54:759   [ZUpdatePatchNode] Needs to update : ./Sound/bgm.mrs (not exist)
09:49:54:759   [ZUpdatePatchNode] Needs to update : ./Sound/effect.mrs (not exist)
09:49:54:759   [ZUpdatePatchNode] Needs to update : ./Sound/Effect/fx2.mrs (not exist)
09:49:54:759   [ZUpdatePatchNode] Needs to update : ./Sound/Effect/nar.mrs (not exist)
09:49:54:759   [ZUpdatePatchNode] Needs to update : ./Sound/Effect/quest/goblin.mrs (not exist)
09:49:54:759   [ZUpdatePatchNode] Needs to update : ./Sound/Effect/quest/golem.mrs (not exist)
09:49:54:759   [ZUpdatePatchNode] Needs to update : ./Sound/Effect/quest/lizard.mrs (not exist)
09:49:54:759   [ZUpdatePatchNode] Needs to update : ./Sound/Effect/quest/skeleton.mrs (not exist)
09:49:54:759   [ZUpdatePatchNode] Needs to update : ./Shader/skin.vso (not exist)
09:49:54:759   [ZUpdatePatchNode] Needs to update : ./Shader/skin1.vso (not exist)
09:49:54:759   [ZUpdatePatchNode] Needs to update : ./Quest/Maps/Dungeon_cavern1.mrs (not exist)
09:49:54:759   [ZUpdatePatchNode] Needs to update : ./Quest/Maps/Dungeon_cavern2.mrs (not exist)
09:49:54:759   [ZUpdatePatchNode] Needs to update : ./Quest/Maps/Dungeon_cavern3.mrs (not exist)
09:49:54:759   [ZUpdatePatchNode] Needs to update : ./Quest/Maps/Dungeon_nest1.mrs (not exist)
09:49:54:759   [ZUpdatePatchNode] Needs to update : ./Quest/Maps/Dungeon_nest2.mrs (not exist)
09:49:54:759   [ZUpdatePatchNode] Needs to update : ./Quest/Maps/Dungeon_nest3.mrs (not exist)
09:49:54:759   [ZUpdatePatchNode] Needs to update : ./Quest/Maps/Dungeon_passage1.mrs (not exist)
09:49:54:759   [ZUpdatePatchNode] Needs to update : ./Quest/Maps/Dungeon_passage2.mrs (not exist)
09:49:54:759   [ZUpdatePatchNode] Needs to update : ./Quest/Maps/Dungeon_passage3.mrs (not exist)
09:49:54:759   [ZUpdatePatchNode] Needs to update : ./Quest/Maps/Mansion_hall1.mrs (not exist)
